index,uids,synonyms,common_name,ignore,umls_cuis,model_relevance_bucket,freq
302,"[332093, 5591]","['lobectomy', 'temporal lobectomy']",lobectomy,0,"['C2959749', 'C0023928']",122,0.0003932845584244757
303,"[6136, 97374]","['mitral valve replacement', 'mitral valve repair', 'mitral valve replacement surgery', 'mitral valvuloplasty']",mitral valve replacement,0,"['C0026268', 'C0396849']",93,0.00015667378123282954
304,"[97467, 719]","['aortic valve replacement', 'aortic valve repair', 'aortic valvuloplasty']",aortic valve replacement,0,"['C0396949', 'C0003506']",93,0.00016429454961024208
305,[24912],['toe amputation'],toe amputation,0,['C0188602'],128,0.00010959228163799754
306,[496],"['amputations', 'amputation']",amputations,0,['C0002688'],128,0.0005026378909980079
307,"[166545, 6737]","['opiate abuse', 'opioid abuse', 'opioid dependence', 'opiate dependence', 'narcotic dependence', 'opiate addiction']",opiate abuse,0,"['C0524662', 'C0029095']",18,0.00028559533540704137
308,"[4489, 2702]","['heroin abuse', 'heroin addiction', 'heroin dependence']",heroin abuse,0,"['C0019337', 'C0011892']",18,0.0009078016314844748
309,"[217147, 93455]",['keppra'],keppra,1,"['C0876060', 'C0377265']",19,0.0017016160253238216
310,[4731],"['hyperthyroidism', 'hyperthyroid']",hyperthyroidism,0,['C0020550'],25,0.0005117264893428504
311,[9711],"['shaking', 'tremor', 'tremors', 'shakes', 'shake', 'quivering']",shaking,1,['C0040822'],71,0.0033270072990831995
312,[3091],"['cardioversion', 'cardioversions', 'electrical cardioversion', 'defibrillation', 'electric cardioversion']",cardioversion,0,['C0013778'],7,0.0004432334467928918
313,[52648],"['hypoxia', 'hypoxic']",hypoxia,0,['C0242184'],130,0.000556956133688076
314,[2697],"['dka', 'diabetic ketoacidosis']",diabetic ketoacidosis,0,['C0011880'],1,0.00042233393754733376
315,[205938],"['anxiety attacks', 'anxiety attack']",anxiety attacks,0,['C0700031'],9,0.0001504696394518901
316,[705],"['anxiety disorder', 'anxiety']",anxiety,1,['C0003469'],9,0.0005341450319267953
317,[9486],['thrombocytopenia'],thrombocytopenia,0,['C0040034'],123,0.0006955636588682938
318,[7162],"['paraplegia', 'leg paralysis']",paraplegia,0,['C0030486'],124,0.00033243788593740806
319,"[13418, 8079]","['pyelonephritis', 'chronic pyelonephritis', 'kidney infection']",pyelonephritis,0,"['C0085697', 'C0034186']",29,0.0004841364062922628
320,[3379],['esophageal varices'],esophageal varices,0,['C0014867'],91,0.00022521802715374503
321,[1180],['neurogenic bladder'],neurogenic bladder,0,['C0005697'],29,0.0
322,[4184],"['graves', 'graves disease', ""graves' disease"", ""grave's disease""]",graves,0,['C0018213'],25,0.0001397083976557902
323,[420],"[""alzheimer's dementia"", ""alzheimer's disease"", 'alzheimers dementia', 'senile dementia', 'alzheimer disease', 'alzheimer dementia', 'alzheimers', 'alzheimer', ""alzheimer's"", 'sdat', 'senile dementia of the alzheimer type']",alzheimer's dementia,0,['C0002395'],33,4.563927131288046e-05
324,[6850],['ostomy'],ostomy,0,['C0029473'],89,0.001076414332045412
325,[3373],"['esophageal cancer', 'esophageal tumor', 'esophageal mass']",esophageal cancer,0,['C0014859'],37,0.00016443962582795318
326,[84338],['parastomal hernia'],parastomal hernia,0,['C0341539'],111,3.9776485338320084e-05
327,[4945],"['inguinal hernia repair', 'inguinal herniorrhaphy']",inguinal hernia repair,0,['C0021446'],111,0.00016879191235928621
328,[57904],"['incisional hernia', 'incisional hernias']",incisional hernia,0,['C0267716'],111,0.00011480649158043768
329,[85479],['incisional hernia repair'],incisional hernia repair,0,['C0342971'],111,4.9837947731342905e-05
330,[6453],"['tumor', 'oncology', 'neoplasm', 'tumors', 'tumour', 'neoplastic disease', 'neoplasia']",tumor,0,['C0027651'],37,0.0039049312131781092
331,"[1907, 58092]","['cholangitis', 'recurrent cholangitis']",cholangitis,0,"['C0008311', 'C0267922']",31,0.00018132820434855717
332,"[53700, 163822]","['compression fracture', 'compression fractures', 'vertebral compression', 'vertebral compression fractures', 'vertebral body compression']",compression fracture,0,"['C0262431', 'C0521169']",92,0.0006096700040881625
333,"[2547, 2550]","['vascular dementia', 'multi-infarct dementia', 'multi infarct dementia', 'multiinfarct dementia']",vascular dementia,0,"['C0011263', 'C0011269']",33,9.016913625502896e-05
334,"[372738, 2548, 372766]","['dementia', 'mild dementia', 'severe dementia', 'presenile dementia']",dementia,0,"['C3494623', 'C0011265', 'C3494652']",33,6.316789197044525e-05
335,[3149],['emphysema'],emphysema,0,['C0013990'],125,0.0
336,[6004],['metformin'],metformin,1,['C0025598'],1,0.0026623278067970514
337,[4761],"['hypoglycemia', 'low blood sugar', 'hypoglycemic']",hypoglycemia,0,['C0020615'],36,0.0015061044872202146
338,[4762],"['hypoglycemic', 'antihyperglycemics', 'hypoglycemics']",hypoglycemic,1,['C0020616'],36,0.0003173670270857725
339,"[217653, 213861]","['insomnia', 'chronic insomnia']",insomnia,0,"['C0917801', 'C0751249']",101,0.0030765630778380416
340,[13141],"['foot ulcer', 'foot ulcers', 'foot ulceration', 'foot ulcerations']",foot ulcer,0,['C0085119'],81,0.0003246976430277629
341,[14175],"['chronic sinusitis', 'chronic rhinosinusitis']",chronic sinusitis,0,['C0149516'],135,0.00018149034835658728
342,[3296],"['epistaxis', 'nosebleeds', 'nose bleeds', 'nosebleed', 'nose bleed', 'nasal bleedings', 'nose bleeding']",epistaxis,0,['C0014591'],72,0.0007942922919682776
343,"[217656, 730]","['aphasia', 'expressive aphasia', 'non-fluent aphasia']",aphasia,0,"['C0917814', 'C0003537']",50,0.0002593536077916511
344,[5749],"['gastric cancer', 'stomach cancer', 'gastric cancers']",gastric cancer,0,['C0024623'],37,0.00022025983406608922
345,[1360],['bronchiectasis'],bronchiectasis,0,['C0006267'],11,0.0003875924503531048
346,"[1594, 67069]","['renal cell carcinoma', 'renal cell cancer', 'metastatic renal cell carcinoma', 'metastatic renal cell cancer', 'renal carcinoma', 'metastatic kidney cancer', 'renal cell carcinoma metastatic', 'cell renal cancer']",renal cell carcinoma,0,"['C0007134', 'C0278678']",37,0.0005912709261243313
347,"[1584, 52136]","['thyroid cancer', 'papillary thyroid cancer', 'papillary thyroid carcinoma', 'papillary carcinoma of thyroid']",thyroid cancer,0,"['C0007115', 'C0238463']",37,0.00033655975729943524
348,[13342],"['encephalopathy', 'brain syndrome']",encephalopathy,0,['C0085584'],50,0.0005418426053606432
349,[4424],"['hepatic encephalopathy', 'portal systemic encephalopathy', 'hepatic enceph']",hepatic encephalopathy,0,['C0019151'],50,0.00018255708525152185
350,[6245],"['cramping', 'spasm', 'cramps', 'muscle cramps', 'cramp', 'muscle cramping']",cramping,0,['C0026821'],13,0.0019600138368576115
351,[7328],"['pericardial effusion', 'pericardial effusions', 'pericardial fluid']",pericardial effusion,0,['C0031039'],106,0.00026707678291097736
352,[14872],['congenital heart disease'],congenital heart disease,0,['C0152021'],8,1.3099529069796467e-05
353,[796],"['avm', 'arteriovenous malformation', 'av malformation', 'av malformations', 'arteriovenous malformations']",arteriovenous malformation,0,['C0003857'],131,0.00027351987375638214
354,[2532],"['dehydration', 'dehydrated']",dehydration,0,['C0011175'],126,0.0015076661900343988
355,[4370],"['hemiparesis', 'hemipareses']",hemiparesis,0,['C0018989'],50,0.00038097868160451054
356,"[10118, 275790]","['chronic venous insufficiency', 'venous insufficiency']",venous insufficiency,0,"['C0042485', 'C1306557']",167,0.00021175154059209104
357,[4890],['incontinence'],incontinence,1,['C0021167'],29,0.0012741788184711213
358,[52645],"['pid', 'pelvic inflammatory disease']",pelvic inflammatory disease,0,['C0242172'],29,0.00020689575424634888
359,[330635],"['metastases', 'metastasis', 'metastatic cancer', 'metastatic disease', 'cancer metastatic', 'metastatic']",metastases,0,"['C2939419', 'C0346957']",37,0.0011516406178761975
360,[1847],['chlamydia'],chlamydia,0,['C0008148'],85,0.0011392494021046375
361,[8564],['scoliosis'],scoliosis,0,['C0036439'],127,0.0
362,"[7987, 7988]","['pseudotumor cerebri', 'pseudotumor', 'idiopathic intracranial hypertension']",pseudotumor cerebri,0,"['C0033844', 'C0033845']",37,0.00012396336108655602
363,[19035],"['angioplasty', 'angioplasties']",angioplasty,0,['C0162577'],3,0.0005665738335328058
364,[259],"['adrenal insufficiency', 'adrenal failure']",adrenal insufficiency,0,['C0001623'],129,0.0002336836511519457
365,[3401],"['estrogen', 'estrogens']",estrogen,0,['C0014939'],61,0.0009937720913210414
366,[1636],"['carotid stenosis', 'carotid artery stenosis', 'carotid stenoses']",carotid stenosis,0,['C0007282'],93,0.00024196152945663794
367,[8707],"['sss', 'sick sinus syndrome']",sick sinus syndrome,0,['C0037052'],7,9.47774396411463e-05
368,"[52259, 177579]","['arm pain', 'left arm pain', 'upper extremity pain', 'pain in left arm']",arm pain,0,"['C0239377', 'C0564820']",14,0.0006975691242307707
369,"[5938, 333759]","['vaginal bleeding', 'menorrhagia', 'heavy periods', 'heavy menstrual bleeding', 'vaginal bleed', 'vagina bleeding', 'heavy menstrual periods', 'heavy menstruation', 'vaginal hemorrhage']",vaginal bleeding,0,"['C0025323', 'C2979982']",118,0.001095538791097799
370,[5139],"['jaundice', 'jaundiced', 'icterus', 'icteric']",jaundice,0,['C0022346'],32,0.0006496598368054692
371,[4428],['hepatitis'],hepatitis,0,['C0019158'],32,0.0006670348473501637
372,[9695],"['transurethral resection of the prostate', 'transurethral prostatectomy', 'turps', 'turp']",transurethral resection of the prostate,0,['C0040771'],59,0.0002255849846456025
373,[24130],"['knee surgery', 'knee surgeries', 'knee operations', 'knee operation']",knee surgery,0,['C0187769'],132,0.0004527231382102297
374,[10312],"['gsw', 'gunshot wound', 'gunshot', 'gun shot wound', 'gunshot wounds', 'gunshot injury']",gunshot wound,0,['C0043252'],48,0.00028358133614940495
375,[156344],"['endometrial cancer', 'endometrial carcinoma']",endometrial cancer,0,['C0476089'],37,0.00014586986996093225
376,[2975],"['duodenal ulcer', 'duodenal ulcers', 'duodenal ulcer disease']",duodenal ulcer,0,['C0013295'],81,0.00010951547658156226
377,[213479],"['perforated duodenal ulcer', 'duodenal ulcer with perforation', 'duodenal ulcer perforation']",perforated duodenal ulcer,0,['C0740401'],81,1.1879182061991325e-05
378,"[7033, 166356]","['oxycodone', 'oxycontin']",oxycodone,1,"['C0030049', 'C0524222']",18,0.004012125470276294
379,"[2654, 8559]","['scleroderma', 'systemic sclerosis']",scleroderma,0,"['C0011644', 'C0036421']",54,0.0007355364237952817
380,"[25832, 213518]","['abdominal aortic aneurysm repair', 'aneurysm repair', 'repair of aneurysm']",abdominal aortic aneurysm repair,0,"['C0189661', 'C0741152']",94,0.00010052928497863348
381,[8630],"['streptococcus pharyngitis', 'streptococcal pharyngitis', 'strept throat']",streptococcus pharyngitis,0,['C0036689'],160,5.391714961757269e-05
382,"[9065, 76317]","['streptococcus', 'streptococcus viridans', 'strep', 'viridans streptococci', 'viridans streptococcus']",streptococcus,0,"['C0038402', 'C0318157']",160,0.0006637066282379679
383,[205992],"['presyncope', 'near syncope', 'pre-syncope', 'presyncopes', 'pre syncope']",presyncope,1,['C0700200'],56,0.0002894867915997627
384,[1585],"['basal cell carcinoma', 'basal cell cancer', 'basal cell carcinomas', 'basal cell skin cancer']",basal cell carcinoma,0,['C0007117'],37,0.0003503932013529467
385,[5573],['lithium'],lithium,0,['C0023870'],9,0.0011473310008206618
386,[5921],['meningitis'],meningitis,0,['C0025289'],144,0.0002917056043412266
387,[13254],['cryptococcal meningitis'],cryptococcal meningitis,0,['C0085436'],144,1.2263207344167768e-05
388,[8041],"['pulmonary fibrosis', 'pulm fibrosis', 'lung fibrosis']",pulmonary fibrosis,0,['C0034069'],11,9.767043010020884e-05
389,[6260],['muscular dystrophy'],muscular dystrophy,0,['C0026850'],149,5.2662667029129635e-05
390,[205661],['ativan'],ativan,1,['C0699194'],9,0.0036467467490233054
391,"[93016, 61116]","['borderline diabetes', 'pre-diabetes', 'prediabetes', 'glucose intolerance', 'pre diabetes', 'impaired glucose tolerance', 'pre diabetic']",borderline diabetes,0,"['C0362046', 'C0271650']",1,0.00046543010810269023
392,[5472],"['leukocytosis', 'elevated white blood count', 'high white blood count', 'leukocytoses']",leukocytosis,0,['C0023518'],133,0.0005228290869453293
393,[1830],"['pleuritic chest pain', 'pleuritic pain']",pleuritic chest pain,0,['C0008033'],38,0.0002159160814299156
394,[4565],"[""hodgkin's lymphoma"", 'hodgkins lymphoma', ""hodgkin's disease"", 'hodgkin lymphoma', 'hodgkin', 'hodgkins disease']",hodgkin's lymphoma,0,['C0019829'],37,7.337443058117917e-05
395,[1607],"['hocm', 'hypertrophic cardiomyopathy', 'hypertrophic obstructive cardiomyopathy', 'obstructive hypertrophic cardiomyopathy']",hocm,0,['C0007194'],134,0.00017067790318953048
396,[8292],"['retinopathy', 'retina']",retinopathy,0,['C0035309'],95,0.0005476541879642466
397,[4846],"['immobilization', 'immobilisation']",immobilization,1,['C0020944'],124,0.0001400753551476477
398,[742],"['appendicitis', 'acute appendicitis']",appendicitis,0,['C0003615'],137,0.0001828984410579009
399,[10091],"['vasculitis', 'angiitis']",vasculitis,0,['C0042384'],136,0.0003193127551821332
400,[1639],"['carpal tunnel', 'carpal tunnel syndrome', 'carpel tunnel syndrome']",carpal tunnel,0,['C0007286'],138,0.001004866155028361
401,[6660],"['OCD', 'obsessive-compulsive disorder']",obsessive-compulsive disorder,0,['C0028768'],9,0.0004314054681018574
402,"[524, 52693, 40511]","['opioids', 'opioid', 'opioid analgesics']",opioids,1,"['C0002772', 'C0242402', 'C0221793']",18,0.00037701042035535393
403,[52692],"['opiate', 'opiates']",opiates,1,['C0242401'],18,0.0
404,[5575],"['lithotripsy', 'lithotripsies']",lithotripsy,0,['C0023878'],27,0.000162681643425101
405,"[211472, 2798]",['dilaudid'],dilaudid,1,"['C0728755', 'C0012306']",18,0.003232545613562953
406,[647],"['nonsteroidal anti-inflammatory drug', 'nsaids', 'nsaid']",nonsteroidal anti-inflammatory drug,0,['C0003211'],139,0.001736127097348745
407,[13588],"['percocet', 'percocets']",percocet,1,['C0086787'],18,0.005269287701799419
408,[2698],['diabetic nephropathy'],diabetic nephropathy,0,['C0011881'],24,0.00024967617068080467
409,"[2699, 39893]","['diabetic neuropathy', 'diabetic foot ulcers', 'diabetic foot ulcer', 'diabetes mellitus with neuropathy', 'diabetic foot']",diabetic neuropathy,0,"['C0011882', 'C0206172']",80,0.0005749541185794119
410,[2356],"['craniotomy', 'craniotomies']",craniotomy,0,['C0010280'],122,0.0002454177569962259
411,"[7448, 205766]",['dilantin'],dilantin,1,"['C0031507', 'C0699512']",19,0.002312310096831121
412,[163328],"['tubal ligation', 'tubal ligations']",tubal ligation,0,['C0520483'],118,0.00036055707048788323
413,[40023],"['cholangiocarcinoma', 'bile duct cancer']",cholangiocarcinoma,0,['C0206698'],37,9.102252577097664e-05
414,"[301552, 8935]","['spinal fusion', 'spinal fusions']",spinal fusion,0,"['C1704329', 'C0037935']",140,0.00011481502547559717
415,[18108],"['ankle fracture', 'ankle fx', 'ankle fractures', 'broken ankle', 'fractured ankle']",ankle fracture,0,['C0159877'],92,0.00032049043271414093
416,[18217],"['ankle sprain', 'ankle sprains', 'twisted ankle', 'sprained ankle']",ankle sprain,0,['C0160087'],92,0.00025965229412223284
417,"[9592, 29628]","['t&a', 'tonsillectomy', 'tonsillectomy and adenoidectomy']",tonsillectomy,0,"['C0040423', 'C0193959']",153,0.0004561366962740203
418,[86],"['fall', 'falls', 'falling', 'fall down', 'falling down', 'mechanical fall', 'mechanical falls']",falls,0,['C0000921'],52,0.0
419,[526],"['anaphylaxis', 'anaphylactic reactions', 'anaphylactic reaction', 'anaphylactic shock']",anaphylaxis,0,['C0002792'],141,0.0003899734071025988
420,[285857],"['paranoia', 'paranoid psychosis', 'paranoid disorder']",paranoia,0,['C1456784'],9,0.0007040634184471322
421,"[2546, 90475]","['delusions', 'paranoid delusions', 'delusional', 'delusion', 'delusions of persecution']",delusions,0,"['C0011253', 'C0349398']",9,0.0008698087302344852
422,"[313370, 313036]","['right hip pain', 'left hip pain', 'pain in right hip']",right hip pain,0,"['C2202100', 'C2141922']",14,0.0005767377026677426
423,[7686],"['polyps', 'polyp']",polyps,0,['C0032584'],119,0.0017288903542535088
424,[4635],['hydrocephalus'],hydrocephalus,0,['C0020255'],142,0.00015472805313646888
425,[256633],['metastatic prostate cancer'],metastatic prostate cancer,0,['C1282496'],37,6.002741855175789e-05
426,[6065],['metoprolol'],metoprolol,1,['C0025859'],10,0.003479670149591075
427,[19472],"['PEG', 'percutaneous endoscopic gastrostomy']",percutaneous endoscopic gastrostomy,0,['C0176751'],143,0.0006072122422822332
428,[4688],"['hyperglycemia', 'elevated glucose', 'high blood glucose', 'elevated blood glucose']",hyperglycemia,0,['C0020456'],36,0.0011041409574185509
429,"[55165, 225118]","['respiratory failure', 'chronic respiratory failure']",respiratory failure,0,"['C0264492', 'C1145670']",162,0.00015587159508783873
430,"[1576, 1597]","['carcinoma', 'transitional cell carcinoma', 'urothelial carcinoma']",carcinoma,0,"['C0007097', 'C0007138']",37,0.001100514051975774
431,[5704],['macular degeneration'],macular degeneration,0,['C0024437'],95,0.00020902922803621798
432,[4708],"['hyperparathyroidism', 'hyperpth']",hyperparathyroidism,0,['C0020502'],25,0.0004227350306198292
433,[213492],"['renal cancer', 'kidney cancer', 'kidney cancers']",renal cancer,0,['C0740457'],37,0.00012754759705353616
434,[6160],"['mgus', 'monoclonal gammopathy', 'monoclonal gammopathy of unknown significance', 'monoclonal gammopathy of undetermined significance']",mgus,0,['C0026470'],146,0.00028824937680163864
435,[2899],"['diuretic', 'diuretics']",diuretic,0,['C0012798'],145,0.0010932858427756974
436,[55],"['miscarriage', 'miscarriages', 'spontaneous abortion', 'spontaneous abortions']",miscarriage,0,['C0000786'],118,0.0002877117414065916
437,[195905],"['factor v leiden', 'factor 5 leiden mutation', 'factor v leiden mutation']",factor v leiden,0,['C0584960'],20,8.884638250531011e-05
438,[5334],"['laparotomy', 'laparotomies']",laparotomy,0,['C0023038'],147,0.00042834179973960527
439,[2539],"['delirium', 'acute delirium', 'delirious']",delirium,0,['C0011206'],33,0.0006852205779350082
440,"[7092, 7101]","['pancreatic pseudocyst', 'pancreatic cyst', 'pancreatic cysts', 'pancreatic pseudocysts', 'cyst pancreas']",pancreatic pseudocyst,0,"['C0030283', 'C0030299']",96,0.00011868087998284004
441,[2270],"['bruising', 'contusion', 'bruise', 'contusions', 'bruises', 'bruised']",bruising,0,['C0009938'],44,0.0019645965385582504
442,"[201589, 11807]",['lamictal'],lamictal,1,"['C0678180', 'C0064636']",19,0.002044678610734778
443,[206],['adenocarcinoma'],adenocarcinoma,0,['C0001418'],37,0.0007296395022400834
444,"[19114, 13156]","['hidradenitis', 'hydradenitis', 'hidradenitis suppurativa']",hidradenitis,0,"['C0162836', 'C0085160']",169,0.00016821160748844185
445,[11864],['lisinopril'],lisinopril,1,['C0065374'],10,0.006459006559877201
446,[39868],"['discectomy', 'diskectomy', 'discectomies']",discectomy,0,['C0206078'],86,0.00018985356561287433
447,"[90322, 82219]","['mania', 'manic', 'manic episode', 'manias']",mania,0,"['C0349208', 'C0338831']",9,0.0008518704826092657
448,[2998],"['dysarthria', 'dysarthric speech', 'slurring', 'slurred speech']",dysarthria,0,['C0013362'],149,0.0004278639016106746
449,[205815],['flagyl'],flagyl,1,['C0699678'],150,0.001261744933223764
450,[1583],"['skin cancer', 'skin cancers', 'cancer skin', 'cancer of the skin']",skin cancer,0,['C0007114'],37,0.00043751573703604247
451,"[87707, 162175]","['liver cancer', 'cancer metastatic to liver', 'metastases to liver', 'metastatic liver cancer', 'liver metastasis', 'liver metastases', 'hepatic metastases', 'metastatic cancer to liver', 'cancer of liver', 'hepatic cancer', 'hepatic metastasis']",liver cancer,0,"['C0345904', 'C0494165']",37,0.00021301455707569355
452,[78093],"['pseudocyst', 'pseudocysts']",pseudocyst,0,['C0333161'],96,8.785645066681083e-05
453,[60486],['crampy'],crampy,0,['C0270814'],50,0.0
454,[8359],"['rib fractures', 'rib fracture', 'broken rib', 'fractured rib', 'rib fx']",rib fractures,0,['C0035522'],92,0.0002934806545343977
455,[7107],"['pancytopenia', 'pancytopenias']",pancytopenia,0,['C0030312'],151,0.00029317343430865656
456,"[60313, 217307, 1315]","['traumatic brain injury', 'concussion', 'brain injury', 'concussions', 'brain inj', 'brain damage', 'brain injuries', 'acquired brain injury', 'traumatic brain injuries']",traumatic brain injury,0,"['C0270611', 'C0876926', 'C0006107']",50,0.00036635158530116783
457,"[156489, 8263]","['RDS', 'respiratory distress', 'difficulty breathing', 'acute respiratory distress syndrome', 'respiratory distress syndrome', 'ards']",respiratory distress syndrome,0,"['C0476273', 'C0035222']",162,0.00015094753758082078
458,[4488],"['ventral hernia repair', 'ventral herniorrhaphy', 'repair of ventral hernia']",ventral hernia repair,0,['C0019334'],111,0.00013207056148805869
459,"[282936, 73145]","['mesenteric ischemia', 'chronic mesenteric ischemia']",mesenteric ischemia,0,"['C1412000', 'C0311262']",40,9.871156530966498e-05
460,"[83602, 83606]","['aortic dissection', 'type b aortic dissection', 'aorta dissection', 'aortic dissections']",aortic dissection,0,"['C0340643', 'C0340647']",154,0.00012710383450524338
461,[21209],"['acute pain', 'acute onset pain']",acute pain,0,['C0184567'],15,0.00015166438477421686
462,[148255],"['sharp pain', 'pain sharp']",sharp pain,0,['C0455270'],14,0.00034895950696615463
463,[1270],"['BMT', 'bone marrow transplantation', 'bone marrow transplant']",bone marrow transplantation,0,['C0005961'],67,0.00029471806933252184
464,[36639],"['cea', 'carcinoembryonic antigen']",carcinoembryonic antigen,0,['C0201933'],37,0.0006827628161290789
465,"[7684, 216431]","['FAP', 'colonic adenoma', 'familial adenomatous polyposis', 'colon adenoma', 'colon adenomatous polyp', 'adenoma of colon', 'familial polyposis']",colonic adenoma,0,"['C0032580', 'C0850572']",37,0.00015477072261226626
466,[16742],"['BPPV', 'benign positional vertigo', 'benign paroxysmal positional vertigo']",bppv,0,['C0155502'],51,0.0001618111861188344
467,[14713],"['bloody diarrhea', 'bloody bowel movement']",bloody diarrhea,0,['C0151594'],47,0.00012160800602254048
468,[867],"['ataxia', 'dyssynergia']",ataxia,0,['C0004134'],149,0.0003723679813885986
469,[4609],"['humerus fracture', 'humeral fracture']",humerus fracture,0,['C0020162'],92,0.00012539705547334808
470,[3618],"['femur fracture', 'femoral fracture']",femur fracture,0,['C0015802'],92,9.639887972144683e-05
471,"[67305, 8180, 51927]","['sexual abuse', 'sexual assault', 'rape', 'raped', 'forcible intercourse']",sexual abuse,0,"['C0282350', 'C0034668', 'C0237236']",17,0.0009487131248790057
472,"[545, 555, 549, 559]","['pernicious anemia', 'hemolytic anemia', 'anemia of chronic disease', 'macrocytic anemia', 'anemia of chronic illness', 'anemia chronic disease']",pernicious anemia,0,"['C0002873', 'C0002886', 'C0002878', 'C0002892']",39,0.0003974747009477786
473,[52607],['autoimmune hepatitis'],autoimmune hepatitis,0,['C0241910'],32,0.00012689902102141598
474,[15562],['nasopharyngeal cancer'],nasopharyngeal cancer,0,['C0153392'],37,0.0
475,[15529],"['tongue cancer', 'cancer of the tongue', 'cancer of tongue']",tongue cancer,0,['C0153349'],37,2.1684627600229853e-05
476,[1580],"['laryngeal cancer', 'larynx cancer', 'cancer of larynx', 'cancer of the larynx']",laryngeal cancer,0,['C0007107'],37,4.583555090154842e-05
477,[3378],"['esophageal stricture', 'esophageal strictures', 'esophageal narrowing', 'esophageal stenosis']",esophageal stricture,0,['C0014866'],156,6.793833936459262e-05
478,"[218439, 83295]","['tracheobronchomalacia', 'tracheomalacia']",tracheobronchomalacia,0,"['C0948187', 'C0340231']",11,0.00014271232875192596
479,[9655],['tracheostomy'],tracheostomy,0,['C0040590'],155,0.00028190015880298814
480,[52303],"['groin pain', 'inguinal pain']",groin pain,0,['C0239783'],14,0.0003844519769344175
481,"[317472, 368641]","['myelodysplastic syndrome', 'myelodysplasia']",myelodysplastic syndrome,0,"['C2347761', 'C3463824']",37,0.00015134009675815671
482,[4639],"['hctz', 'hydrochlorothiazide']",hctz,1,['C0020261'],10,0.004837583547366979
483,[4494],['herpes simplex'],herpes simplex,0,['C0019348'],85,0.0005131004464635261
484,[8196],['rectal pain'],rectal pain,0,['C0034886'],14,0.0002508709160031314
485,"[2860, 2863]","['disc disease', 'discitis', 'diskitis', 'disc disorder', 'disc diseases']",disc disease,0,"['C0012619', 'C0012624']",86,0.00036818637276045515
486,[58378],['incl'],incl,0,['C0268281'],33,0.00037466359918649785
487,[14960],"['cyclic vomiting syndrome', 'cyclical vomiting', 'cyclical vomiting syndrome']",cyclic vomiting syndrome,0,['C0152164'],43,9.760215893893302e-05
488,[3606],"['bowel incontinence', 'fecal incontinence', 'stool incontinence', 'incontinence of bowel', 'incontinent of stool', 'incontinence of stool', 'loss of bowel control', 'incontinence bowel', 'incontinence of feces', 'incontinent of feces', 'incontinence stool', 'anal incontinence', 'incontinence fecal', 'incontinent of bowels']",fecal incontinence,0,['C0015732'],29,0.0003963567606818872
489,[52169],"['ankle pain', 'pain in ankle']",ankle pain,0,['C0238656'],14,0.0006629556454639339
490,[206135],['keflex'],keflex,1,['C0700517'],150,0.001293482489321857
491,[166568],"['reconstruction', 'reconstructive surgery', 'reconstructions', 'reconstructive surgeries', 'surgical reconstruction']",reconstruction,0,['C0524865'],157,0.0004317894933840338
492,[209332],['levaquin'],levaquin,1,['C0721336'],150,0.0008630925547439773
493,[5651],"['lyme disease', ""lyme's disease"", 'lymes disease']",lyme disease,0,['C0024198'],158,0.00012834978319852693
494,[13376],"['photophobia', 'sensitivity to light', 'light sensitivity']",photophobia,0,['C0085636'],159,0.0004567255350400241
495,[208204],['depakote'],depakote,1,['C0719751'],9,0.001894806343944052
496,[7973],"['pseudomonas', 'pseudomonas species']",pseudomonas,0,['C0033808'],161,0.0002275392466371226
497,[8696],"['shoulder dislocation', 'shoulder dislocations']",shoulder dislocations,0,['C0037005'],163,4.848959229614562e-05
498,[3099],"['est', 'ect', 'electroconvulsive therapy', 'electroshock therapy']",electroconvulsive therapy,0,['C0013806'],9,0.0016609776165743947
499,[36406],"['rf', 'rheumatoid factor']",rheumatoid factor,0,['C0201660'],164,0.0004797414502851324
500,"[14274, 7645]","['pneumothorax', 'spontaneous pneumothorax', 'ptx']",pneumothorax,0,"['C0149781', 'C0032326']",175,0.0001417906680747025
501,[28690],"['total colectomy', 'complete colectomy']",total colectomy,0,['C0192871'],89,5.450598838357657e-05
502,[10100],"['vasovagal syncope', 'neurocardiogenic syncope', 'vasovagal episode', 'vasovagal syndrome']",vasovagal syncope,0,['C0042420'],56,7.366458301660135e-05
503,[13214],"['ivig', 'intravenous immunoglobulin']",ivig,0,['C0085297'],165,0.0011906063831743675
504,[7787],"['ectopic pregnancy', 'ectopic pregnancies']",ectopic pregnancy,0,['C0032987'],118,0.00013346158639905342
505,[7088],"['pancreas transplant', 'pancreatic transplant', 'pancreas transplants']",pancreas transplant,0,['C0030275'],67,0.000290476723438262
506,[14248],"['lvh', 'left ventricular hypertrophy']",left ventricular hypertrophy,0,['C0149721'],166,0.0009065812844766695
507,"[52320, 225563, 378541, 2103]","['frontal headache', 'daily headaches', 'daily headache', 'cluster headaches', 'intermittent headaches', 'intermittent headache', 'frontal headaches', 'recurrent headaches', 'cluster headache']",frontal headache,1,"['C0239886', 'C1168188', 'C3661947', 'C0009088']",16,0.0005944370012284969
508,[15675],"['uterine cancer', 'uterus cancer']",uterine cancer,0,['C0153567'],37,0.00012468020827995205
